graph,frequency
handoff&send_image&shop_turn!!!handoff->handoff&handoff->shop_turn&shop_turn->send_image,198
handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->shop_turn&shop_turn->send_image,157
handoff&send_image&shop_turn!!!send_image->shop_turn&shop_turn->handoff&shop_turn->send_image,179
handoff&send_image&shop_turn!!!handoff->handoff&send_image->shop_turn&shop_turn->handoff,129
handoff&inform&shop_turn!!!handoff->shop_turn&inform->inform&shop_turn->inform,222
handoff&inform&shop_turn!!!inform->handoff&inform->inform&shop_turn->inform,74
handoff&inform!!!handoff->handoff&inform->handoff&inform->inform,40
handoff&inform&send_image!!!handoff->handoff&handoff->send_image&inform->handoff,11
handoff&send_image&shop_turn!!!handoff->handoff&handoff->send_image&send_image->shop_turn,102
inform&shop_turn!!!inform->shop_turn&shop_turn->inform,508
handoff&inform&shop_turn!!!inform->handoff&inform->shop_turn&shop_turn->inform,83
handoff&inform&shop_turn!!!handoff->shop_turn&inform->handoff&shop_turn->handoff,275
ask_if_sells#size&handoff&send_image&shop_turn!!!ask_if_sells#size->shop_turn&handoff->ask_if_sells#size&send_image->handoff,19
ask_if_sells#size&handoff&shop_turn&thank!!!ask_if_sells#size->shop_turn&handoff->ask_if_sells#size&shop_turn->thank,4
ask_if_sells#size&handoff&shop_turn&thank!!!ask_if_sells#size->shop_turn&shop_turn->thank&thank->handoff,6
handoff&shop_turn&thank!!!handoff->shop_turn&shop_turn->thank&thank->handoff,389
handoff&send_image&shop_turn&thank!!!handoff->shop_turn&shop_turn->send_image&thank->handoff,7
ask_if_sells#size&handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->ask_if_sells#size&shop_turn->send_image,103
ask_if_sells#size&send_image&shop_turn!!!ask_if_sells#size->shop_turn&send_image->ask_if_sells#size&shop_turn->send_image,368
ask_availability#size&inform&shop_turn!!!inform->shop_turn&shop_turn->ask_availability#size&shop_turn->inform,34
ask_availability#size&inform&send_image&shop_turn!!!ask_availability#size->send_image&inform->shop_turn&shop_turn->ask_availability#size,7
ask_availability#size&send_image&shop_turn!!!ask_availability#size->send_image&send_image->shop_turn&shop_turn->ask_availability#size,72
ask_availability#size&inform&send_image&shop_turn!!!ask_availability#size->send_image&send_image->shop_turn&shop_turn->inform,20
inform&send_image&shop_turn!!!inform->send_image&send_image->shop_turn&shop_turn->inform,63
ask_availability#size&inform&send_image&shop_turn!!!inform->send_image&send_image->ask_availability#size&shop_turn->inform,1
ask_availability#size&handoff&inform&send_image!!!ask_availability#size->handoff&inform->send_image&send_image->ask_availability#size,2
ask_availability#size&handoff&send_image&shop_turn!!!ask_availability#size->handoff&handoff->shop_turn&send_image->ask_availability#size,33
agree&ask_availability#size&handoff&shop_turn!!!ask_availability#size->handoff&handoff->shop_turn&shop_turn->agree,17
greet&request#price&send_image&shop_turn!!!greet->send_image&send_image->request#price&shop_turn->greet,24
greet&request#price&send_image&shop_turn!!!greet->send_image&request#price->shop_turn&send_image->request#price,28
handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->handoff&shop_turn->send_image,744
handoff&inform&send_image&shop_turn!!!handoff->shop_turn&send_image->handoff&shop_turn->inform,153
inform&request#price&shop_turn!!!inform->inform&request#price->shop_turn&shop_turn->inform,54
handoff&request#price&send_image&shop_turn!!!handoff->shop_turn&send_image->handoff&shop_turn->request#price,61
handoff&request#price&shop_turn!!!handoff->shop_turn&request#price->shop_turn&shop_turn->request#price,403
handoff&shop_turn&thank!!!handoff->shop_turn&handoff->thank&shop_turn->handoff,70
handoff&shop_turn&thank!!!handoff->thank&shop_turn->handoff&thank->shop_turn,130
handoff&request#price&shop_turn&thank!!!handoff->thank&shop_turn->request#price&thank->shop_turn,2
request#price&shop_turn&thank!!!request#price->shop_turn&shop_turn->request#price&thank->shop_turn,19
inform&request#price&shop_turn!!!request#price->shop_turn&shop_turn->inform&shop_turn->request#price,117
inform&shop_turn&thank!!!inform->shop_turn&shop_turn->inform&shop_turn->thank,99
inform&shop_turn&thank!!!inform->shop_turn&shop_turn->thank&thank->shop_turn,67
handoff&shop_turn&thank!!!handoff->shop_turn&shop_turn->handoff&thank->shop_turn,142
handoff&request#price&shop_turn!!!handoff->handoff&request#price->shop_turn&shop_turn->handoff,195
agree&handoff&request#price&shop_turn!!!agree->request#price&handoff->shop_turn&shop_turn->agree,32
agree&request#price&shop_turn!!!agree->request#price&request#price->shop_turn&shop_turn->agree,47
ask_if_sells#size&request#price&send_image&shop_turn!!!ask_if_sells#size->shop_turn&send_image->ask_if_sells#size&shop_turn->request#price,63
ask_if_sells#size&request#price&shop_turn!!!ask_if_sells#size->shop_turn&request#price->shop_turn&shop_turn->request#price,85
greet&handoff!!!greet->handoff&handoff->handoff,72
handoff!!!handoff->handoff,505
ask_if_sells#size&greet&inform&shop_turn!!!greet->inform&inform->shop_turn&shop_turn->ask_if_sells#size,1
ask_if_sells#size&handoff&inform&shop_turn!!!ask_if_sells#size->handoff&inform->shop_turn&shop_turn->ask_if_sells#size,8
ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->handoff&handoff->shop_turn&shop_turn->ask_if_sells#size,88
ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->handoff&handoff->shop_turn&shop_turn->handoff,39
inform&shop_turn!!!inform->inform&inform->shop_turn&shop_turn->inform,406
handoff&inform&shop_turn!!!inform->inform&inform->shop_turn&shop_turn->handoff,212
handoff&inform&shop_turn!!!handoff->handoff&handoff->inform&shop_turn->handoff,83
handoff&inform!!!handoff->handoff&handoff->inform&inform->inform,29
handoff&inform&shop_turn!!!handoff->inform&inform->inform&inform->shop_turn,71
agree&inform&shop_turn!!!inform->inform&inform->shop_turn&shop_turn->agree,60
agree&inform&shop_turn!!!agree->inform&inform->shop_turn&shop_turn->agree,81
agree&handoff&inform&shop_turn!!!agree->inform&inform->handoff&shop_turn->agree,26
agree&handoff&inform&shop_turn!!!agree->inform&handoff->shop_turn&inform->handoff,23
handoff&inform&shop_turn!!!handoff->inform&handoff->shop_turn&shop_turn->handoff,179
handoff&inform&shop_turn!!!handoff->inform&inform->shop_turn&shop_turn->handoff,563
agree&handoff&shop_turn!!!agree->handoff&handoff->shop_turn&shop_turn->handoff,141
ask_availability#size&greet&send_image&shop_turn!!!ask_availability#size->send_image&greet->ask_availability#size&send_image->shop_turn,19
ask_availability#size&request#price&send_image&shop_turn!!!ask_availability#size->send_image&send_image->shop_turn&shop_turn->request#price,16
request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->shop_turn&shop_turn->request#price,204
greet&request#price&shop_turn!!!request#price->shop_turn&shop_turn->greet&shop_turn->request#price,20
greet&handoff&request#price&shop_turn!!!greet->handoff&request#price->shop_turn&shop_turn->greet,22
greet&handoff&send_image&shop_turn!!!greet->handoff&handoff->send_image&shop_turn->greet,21
greet&handoff&inform&send_image!!!greet->handoff&handoff->send_image&send_image->inform,18
handoff&inform&send_image!!!handoff->send_image&inform->handoff&send_image->inform,30
handoff&inform&send_image!!!handoff->handoff&inform->handoff&send_image->inform,33
handoff&inform&shop_turn!!!handoff->handoff&handoff->shop_turn&inform->handoff,177
handoff&send_image&shop_turn&thank!!!handoff->shop_turn&shop_turn->thank&thank->send_image,44
request#price&send_image&shop_turn&thank!!!send_image->request#price&shop_turn->thank&thank->send_image,22
request#price&send_image&shop_turn&thank!!!request#price->shop_turn&send_image->request#price&thank->send_image,17
request#price&send_image&shop_turn!!!request#price->send_image&request#price->shop_turn&shop_turn->request#price,30
agree&handoff&send_image&shop_turn!!!handoff->send_image&send_image->shop_turn&shop_turn->agree,26
agree&inform&send_image&shop_turn!!!agree->inform&send_image->shop_turn&shop_turn->agree,4
agree&inform&shop_turn!!!agree->inform&inform->inform&inform->shop_turn,9
agree&handoff&inform&shop_turn!!!agree->handoff&inform->shop_turn&shop_turn->agree,86
greet&handoff&shop_turn!!!handoff->shop_turn&shop_turn->greet&shop_turn->handoff,134
greet&handoff&shop_turn!!!greet->handoff&handoff->shop_turn&shop_turn->greet,345
greet&handoff&shop_turn!!!greet->handoff&handoff->handoff&shop_turn->greet,105
handoff&send_image&shop_turn!!!handoff->shop_turn&shop_turn->handoff&shop_turn->send_image,548
request#price&send_image&shop_turn!!!send_image->shop_turn&shop_turn->request#price&shop_turn->send_image,153
agree&shop_turn!!!agree->shop_turn&shop_turn->agree,303
ask_if_sells#size&request#price&send_image!!!ask_if_sells#size->send_image&request#price->ask_if_sells#size&send_image->request#price,6
ask_if_sells#size&inform&request#price&send_image!!!ask_if_sells#size->send_image&request#price->ask_if_sells#size&send_image->inform,4
ask_if_sells#size&inform&request#price&send_image!!!ask_if_sells#size->send_image&inform->request#price&send_image->inform,3
inform&request#price&send_image!!!inform->request#price&request#price->send_image&send_image->inform,4
inform&request#price&send_image&shop_turn!!!inform->request#price&request#price->send_image&send_image->shop_turn,5
ask_if_sells#size&request#price&send_image&shop_turn!!!request#price->send_image&send_image->shop_turn&shop_turn->ask_if_sells#size,16
ask_if_sells#size&request#price&send_image&shop_turn!!!ask_if_sells#size->send_image&send_image->request#price&shop_turn->ask_if_sells#size,4
ask_if_sells#size&request#price&shop_turn!!!ask_if_sells#size->shop_turn&request#price->ask_if_sells#size&shop_turn->ask_if_sells#size,7
ask_if_sells#size&shop_turn!!!ask_if_sells#size->shop_turn&shop_turn->ask_if_sells#size,66
agree&request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->agree&shop_turn->send_image,14
agree&send_image&shop_turn!!!agree->shop_turn&send_image->agree&shop_turn->send_image,46
