graph,frequency
agree&ask_availability#size&request#price&shop_turn!!!agree->ask_availability#size&ask_availability#size->shop_turn&shop_turn->request#price,1
handoff&request#price&shop_turn&thank!!!handoff->thank&request#price->shop_turn&shop_turn->handoff,8
ask_availability#size&handoff&send_image&thank!!!handoff->ask_availability#size&send_image->handoff&thank->send_image,2
ask_availability#size&handoff&send_image&shop_turn!!!ask_availability#size->shop_turn&handoff->ask_availability#size&send_image->handoff,4
ask_availability#size&handoff&request#price&shop_turn!!!ask_availability#size->shop_turn&handoff->ask_availability#size&shop_turn->request#price,3
ask_availability#size&handoff&shop_turn&thank!!!handoff->ask_availability#size&shop_turn->thank&thank->handoff,2
ask_availability#size&handoff&thank!!!ask_availability#size->handoff&handoff->ask_availability#size&thank->handoff,1
ask_availability#size&handoff&shop_turn!!!ask_availability#size->handoff&handoff->ask_availability#size&handoff->shop_turn,15
ask_availability#size&send_image&shop_turn&thank!!!ask_availability#size->shop_turn&shop_turn->thank&thank->send_image,2
handoff&request#price&send_image!!!handoff->request#price&send_image->handoff&send_image->send_image,4
handoff&request#price&send_image!!!handoff->request#price&request#price->handoff&send_image->handoff,3
ask_if_sells#size&request#price&send_image&shop_turn!!!ask_if_sells#size->send_image&request#price->ask_if_sells#size&shop_turn->request#price,3
ask_if_sells#size&inform&send_image!!!ask_if_sells#size->send_image&inform->inform&send_image->inform,1
ask_availability#size&handoff&inform&shop_turn!!!handoff->ask_availability#size&inform->shop_turn&shop_turn->handoff,8
ask_if_sells#size&send_image&shop_turn!!!ask_if_sells#size->ask_if_sells#size&ask_if_sells#size->shop_turn&send_image->ask_if_sells#size,5
ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->ask_if_sells#size&ask_if_sells#size->shop_turn&shop_turn->handoff,5
ask_availability#size&inform&request#price!!!inform->inform&inform->request#price&request#price->ask_availability#size,1
ask_availability#size&inform&request#price&shop_turn!!!ask_availability#size->shop_turn&inform->request#price&request#price->ask_availability#size,1
agree&ask_availability#size&request#price&shop_turn!!!ask_availability#size->shop_turn&request#price->ask_availability#size&shop_turn->agree,2
greet&handoff&shop_turn&thank!!!handoff->shop_turn&shop_turn->greet&thank->handoff,6
greet&send_image&shop_turn&thank!!!greet->send_image&shop_turn->thank&thank->greet,8
greet&handoff&send_image&thank!!!greet->send_image&send_image->handoff&thank->greet,5
ask_if_sells#size&inform&send_image&shop_turn!!!inform->ask_if_sells#size&send_image->shop_turn&shop_turn->inform,5
agree&handoff&request#price&shop_turn!!!agree->request#price&handoff->agree&shop_turn->handoff,1
agree&handoff&request#price&shop_turn!!!agree->request#price&handoff->agree&request#price->shop_turn,1
ask_availability#size&handoff&inform&shop_turn!!!ask_availability#size->shop_turn&handoff->inform&shop_turn->handoff,14
greet&request#price&shop_turn!!!greet->request#price&greet->shop_turn&shop_turn->greet,1
greet&request#price&shop_turn!!!greet->request#price&request#price->shop_turn&shop_turn->request#price,3
send_image&shop_turn&thank!!!send_image->shop_turn&shop_turn->send_image&thank->shop_turn,8
handoff&inform&thank!!!handoff->inform&handoff->thank&thank->handoff,2
ask_if_sells#size&send_image&shop_turn!!!ask_if_sells#size->ask_if_sells#size&send_image->ask_if_sells#size&shop_turn->send_image,2
ask_if_sells#size&send_image&thank!!!ask_if_sells#size->ask_if_sells#size&ask_if_sells#size->thank&send_image->ask_if_sells#size,1
ask_if_sells#size&shop_turn&thank!!!ask_if_sells#size->ask_if_sells#size&ask_if_sells#size->thank&thank->shop_turn,1
ask_if_sells#size&inform&shop_turn&thank!!!ask_if_sells#size->thank&shop_turn->inform&thank->shop_turn,1
inform&shop_turn&thank!!!inform->inform&shop_turn->inform&thank->shop_turn,3
ask_if_sells#size&handoff&send_image&shop_turn!!!handoff->ask_if_sells#size&send_image->shop_turn&shop_turn->handoff,5
greet&handoff&inform!!!greet->greet&greet->handoff&handoff->inform,1
greet&handoff&inform&shop_turn!!!handoff->greet&inform->handoff&shop_turn->inform,3
greet&handoff&inform!!!handoff->inform&inform->greet&inform->inform,1
greet&inform&shop_turn!!!greet->shop_turn&inform->greet&inform->inform,4
agree&greet&inform&shop_turn!!!greet->shop_turn&inform->greet&shop_turn->agree,3
agree&greet&inform&shop_turn!!!agree->inform&greet->shop_turn&shop_turn->agree,1
handoff&inform&send_image!!!handoff->inform&inform->handoff&inform->send_image,2
handoff&inform&request#price&send_image!!!handoff->inform&inform->send_image&send_image->request#price,3
ask_availability#size&ask_if_sells#size&handoff&shop_turn!!!ask_availability#size->handoff&ask_if_sells#size->shop_turn&shop_turn->ask_availability#size,4
ask_if_sells#size&inform&request#price!!!ask_if_sells#size->inform&inform->inform&request#price->ask_if_sells#size,3
agree&handoff&shop_turn!!!agree->handoff&handoff->agree&shop_turn->agree,4
agree&handoff!!!agree->handoff&handoff->agree,2
agree&greet&handoff!!!agree->handoff&greet->handoff&handoff->greet,3
ask_if_sells#size&greet&handoff&shop_turn!!!greet->ask_if_sells#size&handoff->greet&shop_turn->handoff,2
ask_if_sells#size&greet&send_image!!!ask_if_sells#size->send_image&greet->ask_if_sells#size&send_image->send_image,3
ask_if_sells#size&send_image!!!ask_if_sells#size->send_image&send_image->send_image,5
greet&send_image&shop_turn&thank!!!greet->shop_turn&send_image->thank&shop_turn->send_image,1
ask_is_bot&greet&inform&shop_turn!!!greet->ask_is_bot&inform->shop_turn&shop_turn->greet,2
ask_is_bot&greet&inform&shop_turn!!!ask_is_bot->inform&greet->ask_is_bot&shop_turn->greet,1
ask_is_bot&greet&handoff&inform!!!ask_is_bot->inform&greet->ask_is_bot&inform->handoff,1
ask_is_bot&handoff&inform&shop_turn!!!ask_is_bot->inform&handoff->shop_turn&inform->handoff,1
greet&send_image&shop_turn!!!greet->send_image&send_image->greet&shop_turn->greet,1
greet&send_image!!!greet->greet&greet->send_image&send_image->greet,1
greet&send_image&shop_turn!!!greet->greet&greet->shop_turn&send_image->greet,1
greet&send_image&shop_turn!!!greet->greet&greet->shop_turn&shop_turn->send_image,3
greet&handoff&inform&shop_turn!!!greet->shop_turn&handoff->greet&shop_turn->inform,16
greet&request#price&shop_turn!!!request#price->greet&request#price->shop_turn&shop_turn->request#price,1
greet&request#price&send_image&shop_turn!!!request#price->send_image&send_image->greet&shop_turn->request#price,1
greet&request#price&send_image!!!greet->request#price&request#price->send_image&send_image->greet,2
ask_if_sells#size&ask_is_bot&inform&shop_turn!!!ask_if_sells#size->shop_turn&inform->ask_if_sells#size&shop_turn->ask_is_bot,1
ask_if_sells#size&ask_is_bot&shop_turn&thank!!!ask_if_sells#size->shop_turn&ask_is_bot->thank&shop_turn->ask_is_bot,1
ask_is_bot&shop_turn&thank!!!ask_is_bot->thank&shop_turn->ask_is_bot&thank->shop_turn,2
ask_is_bot&handoff&shop_turn&thank!!!ask_is_bot->thank&shop_turn->handoff&thank->shop_turn,1
agree&ask_if_sells#size&shop_turn&thank!!!agree->ask_if_sells#size&shop_turn->agree&thank->shop_turn,1
agree&ask_if_sells#size&send_image&shop_turn!!!agree->ask_if_sells#size&ask_if_sells#size->send_image&shop_turn->agree,2
agree&ask_if_sells#size&send_image&shop_turn!!!agree->ask_if_sells#size&ask_if_sells#size->send_image&send_image->shop_turn,2
handoff&request#price&send_image!!!handoff->handoff&handoff->request#price&request#price->send_image,11
greet&handoff&request#price&send_image!!!handoff->greet&request#price->send_image&send_image->handoff,2
ask_availability#size&request#price&shop_turn!!!ask_availability#size->shop_turn&request#price->ask_availability#size&shop_turn->ask_availability#size,4
ask_availability#size&ask_is_bot&inform&shop_turn!!!ask_availability#size->inform&ask_is_bot->ask_availability#size&inform->shop_turn,1
ask_if_sells#size&handoff&request#price&send_image!!!handoff->request#price&request#price->ask_if_sells#size&send_image->handoff,1
greet&inform&shop_turn&thank!!!greet->inform&inform->shop_turn&shop_turn->thank,3
agree&greet&handoff&shop_turn!!!agree->shop_turn&handoff->greet&shop_turn->handoff,2
ask_availability#size&greet&send_image!!!ask_availability#size->send_image&greet->send_image&send_image->ask_availability#size,5
handoff&inform&shop_turn&thank!!!inform->handoff&shop_turn->inform&thank->shop_turn,6
ask_availability#size&handoff&inform&shop_turn!!!handoff->shop_turn&inform->handoff&shop_turn->ask_availability#size,13
ask_availability#size&greet&handoff&shop_turn!!!ask_availability#size->handoff&handoff->shop_turn&shop_turn->greet,4
greet&inform&request#price&send_image!!!inform->send_image&request#price->inform&send_image->greet,1
greet&inform&send_image&shop_turn!!!greet->shop_turn&inform->send_image&send_image->greet,3
handoff&request#price&shop_turn!!!handoff->request#price&request#price->handoff&request#price->shop_turn,1
ask_if_sells#size&handoff&inform&shop_turn!!!handoff->shop_turn&inform->handoff&shop_turn->ask_if_sells#size,11
ask_if_sells#size&handoff&send_image!!!handoff->send_image&send_image->ask_if_sells#size&send_image->handoff,2
ask_if_sells#size&handoff&request#price&send_image!!!ask_if_sells#size->send_image&handoff->ask_if_sells#size&send_image->request#price,4
ask_if_sells#size&handoff&send_image&shop_turn!!!ask_if_sells#size->shop_turn&handoff->ask_if_sells#size&shop_turn->send_image,16
ask_if_sells#size&inform&shop_turn&thank!!!inform->ask_if_sells#size&shop_turn->inform&thank->shop_turn,2
agree&ask_if_sells#size&inform&shop_turn!!!ask_if_sells#size->shop_turn&inform->ask_if_sells#size&shop_turn->agree,4
greet&handoff&request#price&send_image!!!greet->handoff&handoff->request#price&request#price->send_image,2
greet&send_image&shop_turn&thank!!!send_image->shop_turn&shop_turn->thank&thank->greet,4
greet&request#price&send_image&thank!!!greet->request#price&request#price->send_image&thank->greet,1
ask_availability#size&greet&handoff&shop_turn!!!greet->ask_availability#size&handoff->greet&shop_turn->handoff,1
greet&handoff&thank!!!greet->handoff&handoff->thank&thank->handoff,1
greet&handoff&thank!!!handoff->greet&handoff->thank&thank->handoff,1
agree&send_image&shop_turn&thank!!!agree->send_image&shop_turn->agree&thank->shop_turn,2
handoff&request#price&shop_turn&thank!!!request#price->shop_turn&shop_turn->handoff&thank->request#price,2
ask_if_sells#size&handoff&shop_turn&thank!!!ask_if_sells#size->handoff&shop_turn->ask_if_sells#size&thank->shop_turn,3
agree&ask_availability#size&inform&send_image!!!agree->inform&inform->send_image&send_image->ask_availability#size,1
ask_if_sells#size&handoff&inform&shop_turn!!!handoff->shop_turn&inform->ask_if_sells#size&shop_turn->inform,7
greet&inform&request#price!!!greet->inform&inform->inform&inform->request#price,1
greet&handoff&thank!!!greet->thank&handoff->greet&handoff->handoff,1
greet&handoff&shop_turn&thank!!!greet->thank&handoff->greet&thank->shop_turn,1
greet&handoff&shop_turn&thank!!!greet->thank&shop_turn->handoff&thank->shop_turn,2
handoff&inform&request#price!!!handoff->inform&inform->handoff&request#price->handoff,1
greet&handoff&inform!!!handoff->greet&handoff->inform&inform->handoff,1
greet&handoff&inform&shop_turn!!!greet->shop_turn&handoff->greet&inform->handoff,5
ask_if_sells#size&handoff&send_image!!!ask_if_sells#size->send_image&handoff->ask_if_sells#size&handoff->handoff,3
ask_availability#size&ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->shop_turn&handoff->ask_availability#size&shop_turn->handoff,4
ask_availability#size&handoff&send_image!!!ask_availability#size->send_image&handoff->ask_availability#size&send_image->send_image,11
ask_availability#size&inform&send_image!!!ask_availability#size->send_image&send_image->inform&send_image->send_image,6
ask_if_sells#size&send_image!!!ask_if_sells#size->send_image&send_image->ask_if_sells#size,8
agree&handoff&request#price!!!agree->request#price&handoff->handoff&request#price->handoff,2
greet&inform&request#price&shop_turn!!!greet->request#price&inform->shop_turn&shop_turn->greet,5
greet&handoff&request#price&shop_turn!!!greet->request#price&handoff->shop_turn&shop_turn->greet,10
greet&handoff&send_image&shop_turn!!!greet->send_image&handoff->greet&shop_turn->handoff,5
greet&handoff&send_image&shop_turn!!!greet->send_image&handoff->greet&send_image->shop_turn,8
agree&greet&send_image&shop_turn!!!greet->send_image&send_image->shop_turn&shop_turn->agree,1
ask_availability#size&greet&shop_turn!!!greet->ask_availability#size&greet->shop_turn&shop_turn->greet,1
greet&shop_turn&thank!!!greet->shop_turn&shop_turn->greet&shop_turn->thank,4
greet&request#price&send_image!!!greet->send_image&request#price->request#price&send_image->request#price,2
handoff&request#price&send_image!!!request#price->handoff&request#price->request#price&send_image->request#price,4
agree&ask_if_sells#size&request#price&shop_turn!!!ask_if_sells#size->shop_turn&request#price->ask_if_sells#size&shop_turn->agree,5
ask_if_sells#size&greet&send_image&shop_turn!!!ask_if_sells#size->greet&send_image->ask_if_sells#size&shop_turn->send_image,1
ask_if_sells#size&greet&send_image!!!ask_if_sells#size->greet&greet->greet&send_image->ask_if_sells#size,1
ask_if_sells#size&greet&shop_turn!!!ask_if_sells#size->greet&greet->greet&greet->shop_turn,1
ask_if_sells#size&inform&shop_turn&thank!!!inform->shop_turn&shop_turn->thank&thank->ask_if_sells#size,2
agree&greet&handoff&request#price!!!agree->greet&greet->handoff&handoff->request#price,1
ask_if_sells#size&handoff&request#price&shop_turn!!!handoff->shop_turn&request#price->handoff&shop_turn->ask_if_sells#size,5
ask_if_sells#size&handoff&inform&shop_turn!!!ask_if_sells#size->handoff&handoff->inform&shop_turn->ask_if_sells#size,3
ask_if_sells#size&handoff&inform!!!ask_if_sells#size->handoff&handoff->inform&inform->handoff,3
greet&request#price&shop_turn!!!greet->shop_turn&request#price->shop_turn&shop_turn->greet,10
handoff&inform&request#price&shop_turn!!!handoff->request#price&inform->handoff&shop_turn->inform,8
handoff&inform&request#price&shop_turn!!!handoff->request#price&inform->handoff&request#price->shop_turn,11
ask_availability#size&handoff&request#price&shop_turn!!!handoff->request#price&request#price->shop_turn&shop_turn->ask_availability#size,7
agree&handoff&thank!!!agree->thank&handoff->handoff&thank->handoff,6
request#price&send_image&shop_turn&thank!!!request#price->shop_turn&shop_turn->thank&thank->send_image,5
ask_availability#size&inform&request#price&send_image!!!ask_availability#size->inform&request#price->send_image&send_image->ask_availability#size,1
ask_if_sells#size&request#price&send_image!!!request#price->ask_if_sells#size&request#price->request#price&send_image->request#price,1
ask_availability#size&handoff&inform&send_image!!!ask_availability#size->inform&inform->handoff&send_image->ask_availability#size,3
ask_availability#size&handoff&inform&shop_turn!!!ask_availability#size->inform&handoff->shop_turn&inform->handoff,6
handoff&request#price&send_link&shop_turn!!!handoff->send_link&send_link->request#price&shop_turn->handoff,1
agree&request#price&send_link&shop_turn!!!request#price->shop_turn&send_link->request#price&shop_turn->agree,3
ask_if_sells#size&handoff&send_image!!!ask_if_sells#size->send_image&handoff->ask_if_sells#size&send_image->send_image,4
ask_availability#size&request#price&shop_turn&thank!!!ask_availability#size->shop_turn&shop_turn->thank&thank->request#price,2
greet&request#price&shop_turn&thank!!!request#price->shop_turn&shop_turn->greet&thank->request#price,1
ask_if_sells#size&inform&send_image&shop_turn!!!inform->ask_if_sells#size&send_image->inform&shop_turn->send_image,5
ask_if_sells#size&greet&inform&shop_turn!!!ask_if_sells#size->shop_turn&inform->ask_if_sells#size&shop_turn->greet,2
ask_if_sells#size&send_image&shop_turn!!!ask_if_sells#size->shop_turn&send_image->ask_if_sells#size&shop_turn->ask_if_sells#size,16
agree&request#price&shop_turn!!!agree->agree&agree->request#price&shop_turn->agree,1
agree&request#price&shop_turn!!!agree->agree&agree->request#price&request#price->shop_turn,1
handoff&inform&request#price&send_image!!!inform->handoff&request#price->inform&send_image->request#price,9
ask_availability#size&inform&request#price&shop_turn!!!ask_availability#size->shop_turn&inform->request#price&shop_turn->inform,2
agree&ask_if_sells#size&greet&shop_turn!!!agree->greet&greet->ask_if_sells#size&shop_turn->agree,2
agree&ask_if_sells#size&greet&shop_turn!!!agree->greet&ask_if_sells#size->shop_turn&greet->ask_if_sells#size,1
inform&request#price&shop_turn&thank!!!request#price->inform&shop_turn->thank&thank->request#price,1
inform&request#price&thank!!!inform->inform&request#price->inform&thank->request#price,1
agree&shop_turn&thank!!!agree->agree&agree->thank&shop_turn->agree,2
agree&send_image&thank!!!agree->agree&agree->thank&thank->send_image,1
agree&request#price&send_image&thank!!!agree->thank&send_image->request#price&thank->send_image,1
ask_is_bot&greet&shop_turn!!!ask_is_bot->shop_turn&greet->ask_is_bot&shop_turn->greet,2
ask_is_bot&inform&shop_turn&thank!!!ask_is_bot->thank&inform->shop_turn&shop_turn->ask_is_bot,1
ask_if_sells#size&inform&send_image!!!ask_if_sells#size->send_image&inform->ask_if_sells#size&send_image->inform,2
ask_availability#size&shop_turn&thank!!!ask_availability#size->shop_turn&shop_turn->ask_availability#size&thank->shop_turn,8
agree&inform&send_image&shop_turn!!!agree->shop_turn&send_image->inform&shop_turn->send_image,5
ask_availability#size&inform&send_image!!!inform->ask_availability#size&inform->inform&send_image->inform,2
ask_availability#size&inform&shop_turn!!!ask_availability#size->shop_turn&inform->ask_availability#size&inform->inform,10
request#price&send_image&shop_turn&thank!!!request#price->send_image&shop_turn->thank&thank->request#price,10
request#price&send_image&shop_turn&thank!!!request#price->send_image&send_image->shop_turn&thank->request#price,10
ask_if_sells#size&handoff&send_image!!!handoff->ask_if_sells#size&handoff->send_image&send_image->handoff,5
agree&ask_if_sells#size&greet&shop_turn!!!agree->greet&ask_if_sells#size->shop_turn&shop_turn->agree,1
agree&greet&handoff&shop_turn!!!agree->greet&greet->shop_turn&shop_turn->handoff,6
ask_if_sells#size&request#price&shop_turn!!!ask_if_sells#size->request#price&ask_if_sells#size->shop_turn&shop_turn->ask_if_sells#size,4
agree&greet&request#price&shop_turn!!!greet->request#price&request#price->agree&shop_turn->greet,1
agree&greet&request#price&shop_turn!!!agree->shop_turn&greet->request#price&request#price->agree,1
agree&request#price&send_image&shop_turn!!!agree->shop_turn&request#price->agree&shop_turn->send_image,1
agree&send_image&shop_turn&thank!!!agree->thank&send_image->shop_turn&shop_turn->agree,3
agree&inform&send_image&shop_turn!!!agree->shop_turn&inform->send_image&shop_turn->inform,4
agree&greet&send_image&shop_turn!!!greet->shop_turn&send_image->greet&shop_turn->agree,4
ask_availability#size&ask_if_sells#size&inform&shop_turn!!!ask_if_sells#size->inform&inform->shop_turn&shop_turn->ask_availability#size,3
ask_availability#size&ask_if_sells#size&shop_turn!!!ask_availability#size->ask_availability#size&ask_if_sells#size->shop_turn&shop_turn->ask_availability#size,1
ask_availability#size&shop_turn!!!ask_availability#size->ask_availability#size&ask_availability#size->shop_turn&shop_turn->ask_availability#size,8
greet&inform&request#price&shop_turn!!!greet->request#price&request#price->inform&shop_turn->greet,2
agree&inform&shop_turn!!!agree->shop_turn&inform->inform&shop_turn->inform,6
agree&inform&shop_turn&thank!!!agree->inform&shop_turn->agree&thank->shop_turn,1
agree&inform&send_image&shop_turn!!!agree->send_image&send_image->inform&shop_turn->agree,8
agree&inform&request#price&send_image!!!agree->send_image&inform->request#price&send_image->inform,1
agree&greet&request#price&shop_turn!!!agree->greet&request#price->shop_turn&shop_turn->agree,4
ask_availability#size&ask_if_sells#size&send_image&shop_turn!!!ask_if_sells#size->ask_availability#size&send_image->ask_if_sells#size&shop_turn->send_image,3
ask_availability#size&ask_if_sells#size&send_image&shop_turn!!!ask_availability#size->shop_turn&ask_if_sells#size->ask_availability#size&send_image->ask_if_sells#size,4
ask_availability#size&ask_if_sells#size&handoff&shop_turn!!!ask_availability#size->shop_turn&ask_if_sells#size->ask_availability#size&shop_turn->handoff,2
agree&inform&send_image&shop_turn!!!inform->shop_turn&send_image->agree&shop_turn->send_image,7
greet&handoff&shop_turn!!!greet->handoff&greet->shop_turn&shop_turn->greet,6
ask_if_sells#size&handoff&inform&send_image!!!handoff->inform&inform->send_image&send_image->ask_if_sells#size,2
ask_if_sells#size&inform&send_image!!!ask_if_sells#size->send_image&inform->send_image&send_image->ask_if_sells#size,2
inform&request#price&shop_turn!!!request#price->inform&request#price->shop_turn&shop_turn->request#price,5
handoff&request#price&send_image!!!handoff->request#price&request#price->send_image&send_image->request#price,11
greet&inform&send_image&shop_turn!!!greet->inform&inform->send_image&shop_turn->greet,8
greet&inform&send_image!!!greet->inform&inform->send_image&send_image->inform,6
greet&handoff&send_image!!!handoff->handoff&handoff->send_image&send_image->greet,6
greet&handoff&send_image!!!greet->handoff&handoff->send_image&send_image->greet,12
greet&inform&send_image&shop_turn!!!greet->shop_turn&send_image->greet&shop_turn->inform,7
greet&handoff&send_image!!!handoff->send_image&send_image->greet&send_image->send_image,4
greet&request#price&send_image!!!greet->request#price&send_image->greet&send_image->send_image,1
greet&inform&request#price&send_image!!!greet->request#price&request#price->inform&send_image->greet,3
handoff&request#price&send_link&shop_turn!!!request#price->shop_turn&send_link->handoff&shop_turn->send_link,1
handoff&request#price&send_link!!!handoff->handoff&handoff->request#price&send_link->handoff,1
ask_availability#size&inform&send_image!!!ask_availability#size->inform&send_image->ask_availability#size&send_image->send_image,8
agree&inform&shop_turn!!!agree->inform&inform->shop_turn&shop_turn->inform,3
ask_if_sells#size&inform&request#price&shop_turn!!!inform->ask_if_sells#size&request#price->shop_turn&shop_turn->inform,6
ask_availability#size&handoff&inform&shop_turn!!!ask_availability#size->inform&handoff->shop_turn&shop_turn->ask_availability#size,12
greet&handoff&inform&send_link!!!greet->inform&handoff->greet&inform->send_link,1
greet&handoff&inform&send_link!!!greet->inform&inform->send_link&send_link->handoff,1
handoff&inform&send_link&shop_turn!!!handoff->shop_turn&inform->send_link&send_link->handoff,2
handoff&send_image&send_link&shop_turn!!!handoff->shop_turn&send_link->handoff&shop_turn->send_image,1
inform&request#price&send_image!!!inform->request#price&send_image->inform&send_image->send_image,6
ask_if_sells#size&handoff&request#price&send_image!!!ask_if_sells#size->handoff&request#price->ask_if_sells#size&send_image->request#price,4
ask_if_sells#size&handoff&request#price&shop_turn!!!ask_if_sells#size->handoff&handoff->shop_turn&request#price->ask_if_sells#size,4
agree&ask_availability#size&send_image&shop_turn!!!agree->send_image&send_image->shop_turn&shop_turn->ask_availability#size,3
ask_availability#size&handoff&request#price&shop_turn!!!ask_availability#size->shop_turn&handoff->request#price&shop_turn->handoff,10
agree&ask_if_sells#size&request#price&send_image!!!agree->send_image&ask_if_sells#size->request#price&send_image->ask_if_sells#size,1
agree&ask_if_sells#size&handoff&shop_turn!!!agree->shop_turn&handoff->agree&shop_turn->ask_if_sells#size,2
agree&ask_if_sells#size&inform&shop_turn!!!agree->shop_turn&ask_if_sells#size->inform&shop_turn->ask_if_sells#size,2
ask_if_sells#size&inform&request#price&shop_turn!!!ask_if_sells#size->shop_turn&request#price->ask_if_sells#size&shop_turn->inform,7
greet&handoff&inform&shop_turn!!!handoff->shop_turn&inform->greet&shop_turn->inform,3
greet&inform&shop_turn!!!greet->shop_turn&inform->greet&shop_turn->inform,9
inform&request#price&send_image!!!inform->request#price&request#price->send_image&send_image->send_image,3
ask_availability#size&send_image&shop_turn!!!ask_availability#size->send_image&ask_availability#size->shop_turn&shop_turn->ask_availability#size,5
ask_availability#size&handoff&send_image&shop_turn!!!handoff->ask_availability#size&send_image->shop_turn&shop_turn->handoff,6
handoff&inform&request#price&send_image!!!inform->request#price&request#price->send_image&send_image->handoff,1
handoff&inform&request#price&send_image!!!handoff->inform&request#price->send_image&send_image->handoff,3
agree&inform&request#price&send_image!!!agree->inform&inform->send_image&send_image->request#price,1
agree&inform&request#price&shop_turn!!!agree->request#price&request#price->shop_turn&shop_turn->inform,3
ask_availability#size&inform&request#price&send_image!!!ask_availability#size->inform&inform->request#price&send_image->ask_availability#size,2
ask_availability#size&inform&request#price&shop_turn!!!ask_availability#size->inform&inform->request#price&request#price->shop_turn,1
ask_availability#size&inform&request#price&shop_turn!!!inform->request#price&request#price->shop_turn&shop_turn->ask_availability#size,4
ask_availability#size&handoff&send_image!!!ask_availability#size->handoff&handoff->ask_availability#size&send_image->handoff,3
agree&handoff&thank!!!agree->agree&agree->handoff&handoff->thank,1
ask_is_bot&send_image&shop_turn!!!ask_is_bot->shop_turn&shop_turn->ask_is_bot&shop_turn->send_image,3
ask_availability#size&ask_is_bot&send_image&shop_turn!!!ask_is_bot->shop_turn&send_image->ask_availability#size&shop_turn->send_image,1
ask_availability#size&inform&shop_turn!!!inform->ask_availability#size&inform->inform&shop_turn->inform,6
request#price&shop_turn!!!request#price->request#price&shop_turn->request#price,3
request#price&shop_turn!!!request#price->request#price&request#price->shop_turn,4
agree&request#price&shop_turn!!!request#price->request#price&request#price->shop_turn&shop_turn->agree,5
send_image&shop_turn&thank!!!send_image->shop_turn&shop_turn->thank&thank->send_image,5
request#price&send_image&shop_turn&thank!!!send_image->shop_turn&shop_turn->request#price&thank->send_image,1
greet&request#price&send_image&shop_turn!!!request#price->greet&send_image->shop_turn&shop_turn->request#price,2
greet&request#price&shop_turn&thank!!!greet->shop_turn&request#price->greet&shop_turn->thank,2
ask_if_sells#size&handoff&request#price&send_image!!!handoff->send_image&request#price->handoff&send_image->ask_if_sells#size,1
ask_availability#size&ask_if_sells#size&handoff&send_image!!!ask_if_sells#size->ask_availability#size&handoff->send_image&send_image->ask_if_sells#size,1
ask_availability#size&ask_if_sells#size&inform&shop_turn!!!ask_availability#size->shop_turn&ask_if_sells#size->ask_availability#size&shop_turn->inform,2
agree&handoff&inform&send_image!!!agree->send_image&handoff->inform&send_image->handoff,5
agree&greet&shop_turn&thank!!!agree->shop_turn&shop_turn->thank&thank->greet,1
greet&shop_turn&thank!!!greet->shop_turn&shop_turn->thank&thank->greet,3
ask_availability#size&greet&handoff&shop_turn!!!ask_availability#size->handoff&greet->shop_turn&shop_turn->ask_availability#size,3
ask_availability#size&handoff&send_image!!!ask_availability#size->handoff&handoff->handoff&handoff->send_image,1
ask_availability#size&greet&handoff&thank!!!ask_availability#size->thank&greet->ask_availability#size&handoff->greet,1
ask_availability#size&greet&send_image&thank!!!ask_availability#size->thank&greet->ask_availability#size&thank->send_image,1
ask_availability#size&greet&send_image&thank!!!ask_availability#size->thank&send_image->greet&thank->send_image,1
greet&send_image&shop_turn&thank!!!greet->shop_turn&send_image->greet&thank->send_image,2
greet&inform&shop_turn&thank!!!inform->shop_turn&shop_turn->thank&thank->greet,2
greet&inform&request#price&shop_turn!!!greet->shop_turn&inform->request#price&shop_turn->inform,1
agree&ask_if_sells#size&send_image!!!ask_if_sells#size->send_image&send_image->agree&send_image->ask_if_sells#size,1
agree&ask_if_sells#size&send_image!!!agree->send_image&ask_if_sells#size->send_image&send_image->agree,1
agree&send_image!!!agree->send_image&send_image->agree&send_image->send_image,2
agree&send_image!!!agree->send_image&send_image->send_image,3
greet&send_image&shop_turn!!!send_image->send_image&send_image->shop_turn&shop_turn->greet,3
greet&send_image&shop_turn!!!greet->greet&send_image->shop_turn&shop_turn->greet,1
ask_availability#size&handoff&request#price&shop_turn!!!handoff->ask_availability#size&request#price->handoff&shop_turn->request#price,3
ask_availability#size&handoff&request#price&shop_turn!!!ask_availability#size->shop_turn&handoff->ask_availability#size&request#price->handoff,2
greet&handoff&inform&request#price!!!greet->inform&handoff->greet&inform->request#price,2
agree&handoff&send_image!!!handoff->handoff&handoff->send_image&send_image->agree,1
agree&handoff&send_image!!!agree->handoff&handoff->send_image&send_image->agree,2
agree&handoff&send_image&shop_turn!!!agree->handoff&handoff->shop_turn&send_image->agree,9
ask_if_sells#size&greet&handoff&shop_turn!!!greet->handoff&handoff->shop_turn&shop_turn->ask_if_sells#size,1
ask_if_sells#size&greet&shop_turn!!!ask_if_sells#size->shop_turn&shop_turn->ask_if_sells#size&shop_turn->greet,7
greet&handoff&shop_turn!!!greet->greet&greet->handoff&shop_turn->greet,7
greet&handoff!!!greet->greet&greet->handoff&handoff->handoff,8
ask_if_sells#size&greet&handoff&shop_turn!!!greet->ask_if_sells#size&handoff->shop_turn&shop_turn->greet,5
ask_if_sells#size&greet&send_image&shop_turn!!!ask_if_sells#size->shop_turn&greet->ask_if_sells#size&shop_turn->send_image,2
